region,icb,org_code,org_name,total_los7_bed_days,avg_weekly_los7_bed_days,max_weekly_los7_bed_days,reporting_points
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,313608.0,6030.923076923077,7442.0,52
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,234764.0,4514.692307692308,5748.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,222596.0,4280.692307692308,5979.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,192067.0,3766.0196078431372,5564.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,180168.0,3464.769230769231,4493.0,52
LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ2,LEWISHAM AND GREENWICH NHS TRUST,171558.0,3299.1923076923076,5362.0,52
SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,167836.0,3227.6153846153848,4202.0,52
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,158540.0,3048.846153846154,4655.0,52
SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,143965.0,2768.5576923076924,3539.0,52
SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,141351.0,2827.02,3769.0,52
LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,139803.0,2688.519230769231,3534.0,52
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,138108.0,2655.923076923077,3389.0,52
MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,129080.0,2482.3076923076924,4593.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,125274.0,2409.1153846153848,3240.0,52
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,122654.0,2358.730769230769,3469.0,52
SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,116727.0,2244.75,3715.0,52
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,115949.0,2229.7884615384614,2989.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,112621.0,2165.7884615384614,2627.0,52
SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",RVJ,NORTH BRISTOL NHS TRUST,101252.0,2025.04,2560.0,52
SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,RH5,SOMERSET NHS FOUNDATION TRUST,101181.0,1945.7884615384614,2500.0,52
LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,R1H,BARTS HEALTH NHS TRUST,100205.0,2004.1,2839.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,95454.0,1835.6538461538462,2383.0,52
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,92844.0,1785.4615384615386,2701.0,52
EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",88880.0,1709.2307692307693,4300.0,52
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,88104.0,1694.3076923076924,2393.0,52
NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,84616.0,1627.2307692307693,2717.0,52
EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,78486.0,1509.3461538461538,2182.0,52
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RPA,MEDWAY NHS FOUNDATION TRUST,77821.0,1496.5576923076924,2342.0,52
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,75866.0,1458.9615384615386,2022.0,52
LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,75071.0,1501.42,2603.0,52
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,74136.0,1425.6923076923076,2049.0,52
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,71867.0,1409.1568627450981,1984.0,52
MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,69079.0,1381.58,2908.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,68384.0,1315.076923076923,1760.0,52
SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RNZ,SALISBURY NHS FOUNDATION TRUST,64841.0,1246.9423076923076,1927.0,52
LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",64381.0,1238.0961538461538,2338.0,52
EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,64331.0,1237.1346153846155,1822.0,52
EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,62688.0,1205.5384615384614,1499.0,52
SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,60781.0,1168.8653846153845,2562.0,52
MIDLANDS,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,60524.0,1163.923076923077,1497.0,52
EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,57272.0,1101.3846153846155,1739.0,52
MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,56633.0,1089.0961538461538,1713.0,52
EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,53931.0,1037.1346153846155,1345.0,52
NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,51806.0,996.2692307692307,1436.0,52
SOUTH WEST,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,51216.0,984.9230769230769,1299.0,52
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,49830.0,958.2692307692307,1353.0,52
SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,49425.0,950.4807692307693,1319.0,52
MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,49116.0,944.5384615384615,1216.0,52
MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,47139.0,906.5192307692307,1355.0,52
EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,47137.0,942.74,1378.0,52
SOUTH WEST,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,46733.0,898.7115384615385,1873.0,52
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,45173.0,868.7115384615385,1471.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,43713.0,840.6346153846154,1342.0,52
LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,42165.0,810.8653846153846,1607.0,52
SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,40444.0,793.0196078431372,1451.0,52
MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,39792.0,765.2307692307693,1328.0,52
EAST OF ENGLAND,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,39095.0,751.8269230769231,1607.0,52
EAST OF ENGLAND,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,38554.0,755.9607843137255,869.0,52
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,38189.0,734.4038461538462,968.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,37942.0,758.84,1082.0,52
SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,37559.0,799.1276595744681,1284.0,52
SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,36244.0,697.0,1056.0,52
SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,RN7,DARTFORD AND GRAVESHAM NHS TRUST,36161.0,695.4038461538462,1008.0,52
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,35805.0,688.5576923076923,1011.0,52
NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,33920.0,652.3076923076923,1173.0,52
NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,33414.0,642.5769230769231,1058.0,52
LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RKE,WHITTINGTON HEALTH NHS TRUST,33376.0,681.1428571428571,1112.0,52
SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,R1F,ISLE OF WIGHT NHS TRUST,32409.0,623.25,1238.0,52
MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RLQ,WYE VALLEY NHS TRUST,30938.0,594.9615384615385,962.0,52
NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RCF,AIREDALE NHS FOUNDATION TRUST,29787.0,572.8269230769231,1290.0,52
SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,29381.0,565.0192307692307,912.0,52
MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,29187.0,561.2884615384615,911.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RMC,BOLTON NHS FOUNDATION TRUST,28963.0,556.9807692307693,897.0,52
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,28622.0,550.4230769230769,1025.0,52
NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,27749.0,533.6346153846154,832.0,52
LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,27230.0,523.6538461538462,545.0,52
MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,26991.0,519.0576923076923,865.0,52
LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,26946.0,518.1923076923077,825.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RWJ,STOCKPORT NHS FOUNDATION TRUST,26929.0,517.8653846153846,720.0,52
SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,25588.0,501.72549019607845,773.0,52
NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,RJN,EAST CHESHIRE NHS TRUST,25236.0,504.72,797.0,52
NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",25095.0,522.8125,1684.0,52
MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,25043.0,491.03921568627453,989.0,52
NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,23945.0,460.4807692307692,702.0,52
MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,22895.0,440.28846153846155,800.0,52
MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,21927.0,456.8125,2706.0,52
NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,21066.0,405.11538461538464,820.0,52
LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RJ6,CROYDON HEALTH SERVICES NHS TRUST,21015.0,404.13461538461536,686.0,52
SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,21010.0,404.03846153846155,1029.0,52
SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,20975.0,436.9791666666667,845.0,48
